SubGroup_Armenian,Subcategory_id,SubGroup_English
Աքսեսուարներ,2,Accessories
Ակնոց,3,Glasses
Գլխարկ,5,Hat
Գոտի,6,Belt
Դրամապանակ,7,Wallet
Թևնոց,8,Bracelet
Ձեռնոց,10,Gloves
Շարֆ,11,Scarf
Պայուսակ,12,Bag
Պատյան,13,Case
Բաճկոն,14,Jacket
Բոդի,15,Bodysuit
Ժիլետ,17,Vest
Հուդի,18,Hoodie
Շապիկներ և վերնաշապիկներ,19,T-shirts and Shirts
Անթև շապիկ,20,Sleeveless T-shirt
Երկարաթև շապիկ,21,Long-sleeved T-shirt
շապիկ երկարաթև,21,long-sleeve shirt
Կարճաթև շապիկ,22,Short-sleeved T-shirt
Սպորտային շապիկ,23,Sports T-shirt
Շորտ,24,Shorts
Գլխաշոր,29,Shawl
Կեղծամ,32,Wig
Մազակալ,34,Hairclip
Խալաթ,38,Robe
Պիժամայի Շապիկ,40,Pajama T-shirt
Պիժամայի Տաբատ,41,Pajamas Pants
Գուլպաներ,42,Socks
Զգեստ,43,Dresses
Լողազգեստներ,46,Swimwear
Բիկինի Լողազգեստ,47,Bikini Swimwear
Լողազգեստ Կրծքկալ,48,Swimwear Bra
Լողազգեստ- շորտեր,49,Swimwear Shorts
Լողավարտիք,50,Swimwear underpants
Միասնական Լողազգեստ,51,One-Piece Swimwear
Պարեո,52,Pareo
Կիսաշրջազգեստ,53,Skirt
Կոմբինեզոն,54,Jumpsuit
Կոշիկ,55,Shoes
Ամենօրյա Կոշիկ,56,Casual Shoes
Արշավային Կոշիկ,57,Camping Shoes
Երկարաճիտ Կոշիկ,59,high boots
Կրոկս,60,Crocs
Հողաթափեր,61,Slippers
Մոկասիններ,62,Moccasins
Պարային Կոշիկներ,63,Dance Shoes
Սաբո,65,Clogs
Սանդալ,66,Sandals
Սպորտային Կոշիկ,67,Sports Shoes
Օքսֆորդներ,68,Oxfords
Պիջակ+տաբատ,69,Suit jacket+Pants
Շապիկ,73,T-shirt
Վարտիք,74,Underwear
Բլուզ,77,Blouses
Պոլո,80,Polo
Վերնաշապիկ,82,Shirt
Վոդոլազկա,83,Roll Neck Sweater
Տունիկա,84,Tunic
Ուսապարկ,86,Backpack
Ջինսե տաբատ,87,Jeans
Սվիտրեր,88,Sweaters
Կարդիգան,89,Cardigan
Փուլովեր,91,Pullover
Վերարկու,92,Coat
Տաբատներ,93,Trousers
Ամենօրյա Տաբատ,94,Casual Pants
Արշավային Տաբատ,95,Camping Pants
Դասական Տաբատ,96,Classic Pants
Կյուլոտ,98,Culotte
Սպորտային Տաբատ,99,Sport Pants
Քնապարկ,100,Sleeping Bag
Մանկասայլակի ծածկ,107,Stroller cover
Պատյաշկա,109,Patyashka
Փողկապ,110,Tie
Շորտաձև Վարտիք,139,Shorts underwear
պատյաշկի,151,Suspenders
Պիջակ,153,Suit Jacket
Աբադոկ,168,Headband
Ականջօղ,169,Earrings
Անձրևանոց,171,Umbrella
Բիժուտերիա,173,Costume jewelry
ժամացույց,178,Watch
Կոսմետիկ պայուսակ,179,Cosmetic bag
Մատանի,182,Ring
Սաղավարտ,186,Helmet
Սպորտային ակնոց,187,Sports glasses
Վզնոց,188,Necklace
Օձիգ,189,Collar
Գիշերազգեստ,193,Pajamas
Պիժամայի Շորտեր,198,Pajama shorts
Լաղափնյա Զգեստ,206,Beach dress
Բարձրակրունկ,217,High heels
Ձմեռային հողաթափ,221,Winter Slippers
Տանկետկա,226,Thigh high boots
Կորսետ,230,Corset
Մուշտակ,233,Fur coat
Կրծքկալ,235,Bra
Նեգլիժե,236,Negligée
Ուղղիչ Ներքնազգեստ ,238,Correctional underwear
Տոպ,249,Top
Բրիջի,262,Capris
Լեգինգ,264,Leggings
Ածելի,269,Razor
Գործիքների պատյան,271,Tool case
Կախիչ,272,Hanger
Հեծանիվի նստատեղի պատյան,273,Bicycle seat case
Մոմ,274,Candle
Պոլիէթիլենային փաթեթներ,275,Polyethylene packages
Սթիքեր,276,Stickers
Օրացույց,277,Calendar
Անկողնային հավաքածու երկտեղանի 3 կտոր+2 բարձ,278,Double bedding set 3 pieces+2 pillows
Անկողնային հավաքածու մեկ տեղանի 2 կտոր+բարձ,279,Single bedding set 2 pieces+pillow
Աքսեսուարների կախիչ,280,Accessory hanger
Բաժակ փականով,281,Glass with lock
Բարձ,282,Pillow
Բարձի երես,283,Pillowcase
Գիշերանոց,284,Nightwear
Գոգնոց,285,Apron
Գորգ,286,Carpet
Գորգիկ,287,Rug
Թղթապանակ,289,Folder
Կազմ,290,Cover
Ձայնասկավառակների հավաքածու,291,CD set
Ֆայլերի պահարան,292,File cabinet
Գրչատուփ,293,Pencil case
Դեկորատիվ բարձ,294,Decorative pillow
Դեկորատիվ բարձի երես,295,Decorative pillowcase
Դեկորատիվ մանկական ծածկոց,296,Decorative children's blanket
Երեսի սրբիչ,297,Face towel
Երկտեղանի ծածկոց,298,Double blanket
Երկտեղանի սավան,299,Double sheet
Զարդատուփ,300,Jewelry box
