english,armenian,id
Accessories,Աքսեսուարներ,2
Glasses,Ակնոց,3
Hat,Գլխարկ,5
Belt,Գոտի,6
Wallet,Դրամապանակ,7
Bracelet,Թևնոց,8
Gloves,Ձեռնոց,10
Scarf,Շարֆ,11
Bag,Պայուսակ,12
Case,Պատյան,13
Jacket,Բաճկոն,14
Bodysuit,Բոդի,15
Vest,Ժիլետ,17
Hoodie,Հուդի,18
T-shirts and Shirts,Շապիկներ և վերնաշապիկներ,19
Sleeveless T-shirt,Անթև շապիկ,20
Long-sleeved T-shirt,Երկարաթև շապիկ,21
long-sleeve shirt,շապիկ երկարաթև,21
Short-sleeved T-shirt,Կարճաթև շապիկ,22
Sports T-shirt,Սպորտային շապիկ,23
Shorts,Շորտ,24
Shawl,Գլխաշոր,29
Wig,Կեղծամ,32
Hairclip,Մազակալ,34
Robe,Խալաթ,38
Pajama T-shirt,Պիժամայի Շապիկ,40
Pajamas Pants,Պիժամայի Տաբատ,41
Socks,Գուլպաներ,42
Dresses,Զգեստ,43
Swimwear,Լողազգեստներ,46
Bikini Swimwear,Բիկինի Լողազգեստ,47
Swimwear Bra,Լողազգեստ Կրծքկալ,48
Swimwear Shorts,Լողազգեստ- շորտեր,49
Swimwear underpants,Լողավարտիք,50
One-Piece Swimwear,Միասնական Լողազգեստ,51
Pareo,Պարեո,52
Skirt,Կիսաշրջազգեստ,53
Jumpsuit,Կոմբինեզոն,54
Shoes,Կոշիկ,55
Casual Shoes,Ամենօրյա Կոշիկ,56
Camping Shoes,Արշավային Կոշիկ,57
high boots,Երկարաճիտ Կոշիկ,59
Crocs,Կրոկս,60
Slippers,Հողաթափեր,61
Moccasins,Մոկասիններ,62
Dance Shoes,Պարային Կոշիկներ,63
Clogs,Սաբո,65
Sandals,Սանդալ,66
Sports Shoes,Սպորտային Կոշիկ,67
Oxfords,Օքսֆորդներ,68
Suit jacket+Pants,Պիջակ+տաբատ,69
T-shirt,Շապիկ,73
Underwear,Վարտիք,74
Blouses,Բլուզ,77
Polo,Պոլո,80
Shirt,Վերնաշապիկ,82
Roll Neck Sweater,Վոդոլազկա,83
Tunic,Տունիկա,84
Backpack,Ուսապարկ,86
Jeans,Ջինսե տաբատ,87
Sweaters,Սվիտրեր,88
Cardigan,Կարդիգան,89
Pullover,Փուլովեր,91
Coat,Վերարկու,92
Trousers,Տաբատներ,93
Casual Pants,Ամենօրյա Տաբատ,94
Camping Pants,Արշավային Տաբատ,95
Classic Pants,Դասական Տաբատ,96
Culotte,Կյուլոտ,98
Sport Pants,Սպորտային Տաբատ,99
Sleeping Bag,Քնապարկ,100
Stroller cover,Մանկասայլակի ծածկ,107
Patyashka,Պատյաշկա,109
Tie,Փողկապ,110
Shorts underwear,Շորտաձև Վարտիք,139
Suspenders,պատյաշկի,151
Suit Jacket,Պիջակ,153
Headband,Աբադոկ,168
Earrings,Ականջօղ,169
Umbrella,Անձրևանոց,171
Costume jewelry,Բիժուտերիա,173
Watch,ժամացույց,178
Cosmetic bag,Կոսմետիկ պայուսակ,179
Ring,Մատանի,182
Helmet,Սաղավարտ,186
Sports glasses,Սպորտային ակնոց,187
Necklace,Վզնոց,188
Collar,Օձիգ,189
Pajamas,Գիշերազգեստ,193
Pajama shorts,Պիժամայի Շորտեր,198
Beach dress,Լաղափնյա Զգեստ,206
High heels,Բարձրակրունկ,217
Winter Slippers,Ձմեռային հողաթափ,221
Thigh high boots,Տանկետկա,226
Corset,Կորսետ,230
Fur coat,Մուշտակ,233
Bra,Կրծքկալ,235
Negligée,Նեգլիժե,236
Correctional underwear,Ուղղիչ Ներքնազգեստ,238
Top,Տոպ,249
Capris,Բրիջի,262
Leggings,Լեգինգ,264
Razor,Ածելի,269
Tool case,Գործիքների պատյան,271
Hanger,Կախիչ,272
Bicycle seat case,Հեծանիվի նստատեղի պատյան,273
Candle,Մոմ,274
Polyethylene packages,Պոլիէթիլենային փաթեթներ,275
Stickers,Սթիքեր,276
Calendar,Օրացույց,277
Double bedding set 3 pieces+2 pillows,Անկողնային հավաքածու երկտեղանի 3 կտոր+2 բարձ,278
Single bedding set 2 pieces+pillow,Անկողնային հավաքածու մեկ տեղանի 2 կտոր+բարձ,279
Accessory hanger,Աքսեսուարների կախիչ,280
Glass with lock,Բաժակ փականով,281
Pillow,Բարձ,282
Pillowcase,Բարձի երես,283
Nightwear,Գիշերանոց,284
Apron,Գոգնոց,285
Carpet,Գորգ,286
Rug,Գորգիկ,287
Folder,Թղթապանակ,289
Cover,Կազմ,290
CD set,Ձայնասկավառակների հավաքածու,291
File cabinet,Ֆայլերի պահարան,292
Pencil case,Գրչատուփ,293
Decorative pillow,Դեկորատիվ բարձ,294
Decorative pillowcase,Դեկորատիվ բարձի երես,295
Decorative children's blanket,Դեկորատիվ մանկական ծածկոց,296
Face towel,Երեսի սրբիչ,297
Double blanket,Երկտեղանի ծածկոց,298
Double sheet,Երկտեղանի սավան,299
Jewelry box,Զարդատուփ,300
Large bath towel,Լոգանքի սրբիչ մեծ,301
Medium bath towel,Լոգանքի սրբիչ միջին,302
Small bath towel,Լոգանքի սրբիչ պոքր,303
Bathroom curtain,Լոգարանի վարագույր,304
Kitchen handle,Խոհանոցի բռնիչ,306
Kitchen towel large,Խոհանոցի սրբիչ մեծ,307
Kitchen towel small,Խոհանոցի սրբիչ փոքր,308
Round towel,Կլոր սրբիչ,309
Slipper,Հողաթափ,310
Bed cover,Մահճակալի Ծածկոց,311
Children's rug,Մանկական գորգ,312
Children's blanket,Մանկական ծածկոց,313
Children's round rug,Մանկական կլոր գորգ,314
Single bed cover,Մեկ տեղանի ծածկոց,315
Single bed sheet,Մեկ տեղանի սավան,316
Table mat,Սեղանի գորգիկ,317
Table cover,Սեղանի ծածկոց,318
Curtain,Վարագույր,319
Thermo bag,Տեռմո պայուսակ,320
Sunglasses,Արևային ակնոց,339
Pocket handkerchief,Գրպանի թաշկինակ,342
Handkerchief,Թաշկինակ,344
Bow tie,Թիթեռնիկ,345
Swimsuit-shorts,Լողազգեստ-շորտեր,361
Underwear dress,Ներքնազգեստ,375
Cloth,Կտոր,401
TV,TV,402
Tights,Զուգագուլպա,403
Shoe sole,Կոշիկի տակացու,404
Trench,Թրենչ,405
Poncho,Պոնչո,406
Kitchen towel,Սրբիչ խոհանոցային,408
Toy,Խաղալիք,410
Kitchen appliances,Խոհանոցային տեխնիկա,411
Car lights,Մեքենայի լույսեր,412
Bicycle lights,Հեծանիվի լույսեր,413
Headphones,Ականջակալներ,414
Hair dryer,Վարսահարդարիչ,415
Remote control,Հեռակառավարման վահանակ,416
Massage devices,Մերսման սարքեր,417
Solar lights,Արևային լույսեր,418
Christmas tree lights,Տոնածառի լույսեր,419
Hairbrush,Սանր,420
Pet collar,Վզկապ կենդանու,421
Power bank,Արտաքին մարտկոց,422
Charger,Լիցքավորիչ,423
Air conditioners,Օդափոխիչ սարքեր,424
Lamp,Լամպ,426
Power supply,Հոսանքի հաղորդիչ,427
Projector,Պրոյեկտոր,428
Analog device,Անալոգային սարք,429
Hair removal device,Մազահեռացման սարք,430
Printer,Տպիչ,431
Chair,Աթոռ,432
Shaver,Սափրիչ,433
Cooling system,Հովացման համակարգ,434
Computer accessories,Համակարգչային պարագաներ,435
Bathroom set,Լոգարանային հավաքածու,436
Photographic devices,Նկարահանող սարքեր,437
Insecticide,Միջատասպան միջոց,438
Thermometer,Ջերմաչափ,439
Sheet,Սավան,440
Pillowcase set 2,Բարձի երես հավաքածու 2,441
Long-sleeved shirt set 2,Երկարաթև շապիկ հավաքածու 2,442
Tights set of 2,Զուգագուլպա հավաքածու 2,443
Socks set of 2,Գուլպաներ 2 հավաքածու,444
Socks set of 3,Գուլպաներ 3  հավաքածու,445
Socks set of 4,Գուլպաներ 4  հավաքածու,446
Socks set of 5,Գուլպաներ 5  հավաքածու,447
Socks set of 6,Գուլպաներ 6  հավաքածու,448
Socks set of 7,Գուլպաներ 7 հավաքածու,449
Socks set of 10,Գուլպաներ 10  հավաքածու,450
Envelope,Ծրար,451
Bath towel,Սրբիչ բաղնիքի,452
Tie 2 sets,Փողկապ 2 հավաքածու,453
T-shirt 2 sets,Շապիկ 2 հավաքածու,454
Leggings 2 sets,Լեգինգ 2 հավաքածու,455
Shorts 2 sets,Շորտեր 2 հավաքածու,456
sleeveless shirt + shorts + t-shirt + skirt,անթև շապիկ +շորտ+շապիկ +կիսաշրջազգեստ,457
sleeveless shirt + shorts,անթև շապիկ+շորտ,457
sleeveless shirt + button-up shirt + shorts,անթև շապիկ+վերնաշապիկ+շորտ,457
t-shirt+shorts,շապիկ+շորտ,457
Shorts+T-shirt,Շորտ+շապիկ,457
Leggings+T-shirt,Լեգինգ+շապիկ,458
Leggings+T-shirt 2 sets,Լեգինգ+շապիկ 2 հավաքածու,459
Cap,Գլխարկ կեպի,460
Skirt+T-shirt,Կիսաշրջազգեստ+շապիկ,461
Pajamas+dress,Պիժամա+զգեստ,462
short pants,Կարճ տաբատ,463
Top+Shorts,Տոպ+Շորտ,464
High-heeled shoes,Բարձրակրունկ Կոշիկ,465
Light Jacket,ժակետ,466
Evening dress,Երեկոյան Զգեստ,467
Rain suit,Անձրևազգեստ,468
T-shirt+Pants+Hat,շապիկ+տաբատ+գլխարկ,469
Ankle Boots,կիսաճտքավոր կոշիկ,470
sleeveless jacket,անթև բաճկոն,471
One-piece swimsuit,Բոդի Լողազգեստ,472
laundry net,լվացքի ցանց,473
sneakers,կեդ,474
COSMETICS BAG,ՊԱՅՈՒՍԱԿ ԿՈՍՄԵՏԻԿԱՅԻ,475
Tall boots,ճտքավոր կոշիկ,476
Trench coat,պլաշ,477
boots,սաբոկ,478
Towel,ՍՐԲԻՉ,479
top+hat,տոպ+գլխարկ,481
LEGGINGS PANTS,ՏԱԲԱՏ ԼԵԳԻՆՍ,482
sleeveless shirt + pants + skirt 4-piece set,անթև շապիկ+տաբատ+կիսաշրջազգեստ 4 սեթ,483
ong-sleeve shirt + pants,երկարաթև շապիկ+տաբատ,483
T-shirt+Pants,շապիկ+տաբատ,483
bodysuit+hat+bib,բոդի+գլխարկ+գոգնոց,484
hat+bib+overalls,գլխարկ+գոգնոց+կոմբինեզոն,484
vest+pants,Ժիլետ+Տաբատ,485
jacket+pants,Ժակետ+Տաբատ,486
jacket+t-shirt,Ժակետ+Շապիկ,487
shoe inserts,ներդիր,488
shorts+shirt,շորտ+վերնաշապիկ,489
dress,շրջազգեստ,490
Pinafore Dress,սառաֆան,491
beach towel,սրբիչ ծովային,492
Rain jacket,անձրևի բաճկոն,493
jacket + overalls,բաճկոն+կոմբինեզոն,494
bandanna,բանդանա,495
potholder,բռնիչ,496
hat + t-shirt,գլխարկ+շապիկ,497
hat + scarf,գլխարկ+շարֆ,498
decorative tablecloth,դեկորատիվ սփռոց,499
jeans jacket,ջինսե ժակետ,500
dusting cloth,լաթ,501
wash mitt,ԼՈԳԱՐԱՆԻ ՁԵՌՆՈՑ,502
duvet cover+pillowcase,ԾՐԱՐ+ԲԱՐՁԻ ԵՐԵՍ,503
Long johns,կալսոն,504
bicycle seat cover,հեծանիվի նստատեղի ծածկոց,506
travel mat,ՃԱՄՓՈՐԴԱԿԱՆ ԳՈՐԳԻԿ,507
ballet shoes,ՄԱՍԻԿ,508
posture corrector,մեջքի կարգավորիչ,509
undershirt,ներքնաշապիկ,511
t-shirt + leggings,շապիկ+լեգինս,512
t-shirt + underwear,շապիկ+վարտիք,513
jeans shorts,շորտ ջինսե,514
shorts + t-shirt + pants,շորտ+շապիկ+տաբատ,515
Crochet Threads set,շուղեր+թել,516
shoe bag,ՊԱՅՈՒՍԱԿ  ԿՈՇԿԵՂԵՆԻ,517
laptop bag,ՀԱՄԱԿԱՐԳՉԻ ՊԱՅՈՒՍԱԿ,518
jeans blazer,ջինսե պիջակ,519
table setting napkin,սեղանի ձևավորման անձեռոցիկ,520
Tablecloth,սեղանի սփռոց,521
sweater + hat,սվիտեր+գլխարկ,522
SHOE SOLE INSERTS,ԿՈՇԻԿԻ ԴՆՈՎԻ ՄԻՋԱՏԱԿԵՐ,523
shorts + underwear,շորտ+վարտիք,524
Shirt + pants,վերնաշապիկ+տաբատ,525
shorts + pants,շորտ+տաբատ,526
pants + jacket,տաբատ+բաճկոն,527
pants + cardigan,տաբատ+կարդիգան,528
balloon,փուչիկ,529
pants + hoodie,տաբատ+հուդի,530
school backpack,դպրոցական պայուսակ,531
purse,Ձեռքի պայուսակ,532
sports bag,սպորտային պայուսակ,533
suitcase,ճամփորդական պայուսակ,534
belt bag,գոտկատեղի պայուսակ,535
beach bag,լողափնյա պայուսակ,536
jacket + hat,բաճկոն+գլխարկ,537
